room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6487,11077537,Private room,Islington,Hillrise,180,4.5,2,1.0,122.0,3,51.572986,-0.12823,2015-01-18 02:15:57.177
7016,16902,Entire home/apt,Westminster,West End,0,,2,1.0,185.0,21,51.520309,-0.139863,2015-01-18 03:26:04.518
9293,29896,Entire home/apt,Kensington and Chelsea,Chelsea Riverside,88,4.5,4,2.0,179.0,1,51.482968,-0.174777,2015-01-18 01:32:11.406
9554,31655,Private room,Haringey,Harringay,64,5.0,2,1.0,54.0,2,51.587767,-0.105666,2015-01-18 01:52:39.210
9607,31968,Private room,Lambeth,Clapham Town,5,4.0,1,1.0,73.0,1,51.466078,-0.133797,2015-01-18 05:34:30.076
11076,40471,Private room,Ealing,Ealing Broadway,0,,2,1.0,131.0,2,51.515645,-0.314508,2015-01-18 00:50:29.642
11551,43039,Entire home/apt,Lambeth,Ferndale,131,4.5,4,1.0,187.0,3,51.462254,-0.117324,2015-01-17 22:16:26.699
13434,52542,Shared room,Croydon,Addiscombe,3,4.5,2,1.0,28.0,1,51.378054,-0.078769,2015-01-18 04:40:57.496
13913,54730,Private room,Islington,Tollington,8,5.0,2,1.0,139.0,1,51.568017,-0.111208,2015-01-18 02:25:41.156
14613,57474,Private room,Westminster,Hyde Park,1,2.5,1,1.0,94.0,1,51.513213,-0.176339,2015-01-17 21:31:34.363
15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,44,4.5,2,1.0,234.0,3,51.48792,-0.168103,2015-01-17 22:57:18.593
16105,62822,Entire home/apt,Hackney,Hoxton East & Shoreditch,15,4.5,2,,159.0,2,51.524921,-0.078051,2015-01-18 12:29:06.286
17402,67564,Entire home/apt,Camden,Bloomsbury,21,4.5,6,3.0,432.0,3,51.521874,-0.138341,2015-01-18 13:46:30.439
18317,37014,Entire home/apt,Richmond upon Thames,Kew,9,4.5,5,2.0,178.0,2,51.473664,-0.287364,2015-01-18 05:58:27.213
23616,93107,Private room,Merton,Raynes Park,53,5.0,4,1.0,139.0,1,51.412869,-0.236621,2015-01-18 00:34:07.772
24108,30780,Private room,Southwark,South Camberwell,21,4.5,1,1.0,88.0,3,51.468378,-0.081865,2015-01-17 23:13:17.819
24328,41759,Entire home/apt,Wandsworth,Latchmere,48,5.0,6,2.0,272.0,2,51.471939,-0.163978,2015-01-17 20:36:45.362
24903,54987,Entire home/apt,Tower Hamlets,Limehouse,4,4.0,5,2.0,373.0,3,51.51154,-0.037023,2015-01-18 01:05:20.204
25123,103583,Private room,Barnet,Childs Hill,69,5.0,2,1.0,66.0,3,51.572243,-0.20906,2015-01-17 22:36:00.058
26223,110865,Entire home/apt,Islington,St. Mary's,27,4.5,5,1.0,219.0,3,51.542362,-0.103796,2015-01-18 03:57:27.169
26482,110865,Entire home/apt,Islington,St. Mary's,23,4.5,4,1.0,219.0,3,51.53915,-0.10137,2015-01-18 04:08:58.081
26682,113354,Private room,Kensington and Chelsea,Redcliffe,1,4.0,1,1.0,122.0,1,51.485037,-0.185547,2015-01-18 00:08:25.035
26713,113767,Private room,Westminster,Westbourne,126,4.5,3,1.0,94.0,1,51.522929,-0.187558,2015-01-18 02:26:36.645
26810,113767,Private room,Westminster,Westbourne,70,4.5,2,1.0,93.0,1,51.523828,-0.188955,2015-01-18 09:05:06.646
28010,119316,Private room,Tower Hamlets,Weavers,15,4.5,3,1.0,112.0,3,51.523611,-0.073251,2015-01-18 03:37:02.997
28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,8,3.5,5,2.0,393.0,3,51.500419,-0.01917,2015-01-18 06:43:51.695
28772,123889,Entire home/apt,Lambeth,Herne Hill,103,4.5,2,1.0,131.0,2,51.470821,-0.093521,2015-01-18 03:11:23.828
29256,125781,Entire home/apt,Barnet,Coppetts,1,5.0,8,4.0,281.0,7,51.615092,-0.158291,2015-01-18 01:10:27.072
29837,128581,Entire home/apt,Camden,Gospel Oak,78,5.0,4,1.0,355.0,3,51.550924,-0.161044,2015-01-18 05:59:14.984
30352,131087,Private room,Hackney,Dalston,19,5.0,2,1.0,131.0,1,51.5457,-0.073745,2015-01-18 06:12:19.089
30671,132046,Private room,Barnet,Golders Green,7,5.0,2,1.0,75.0,2,51.567205,-0.218111,2015-01-18 10:37:37.290
34144,147223,Entire home/apt,Camden,Holborn and Covent Garden,7,4.5,5,2.0,328.0,7,51.515701,-0.125141,2015-01-18 02:56:17.061
34575,149266,Entire home/apt,Islington,Caledonian,10,5.0,3,1.0,169.0,1,51.540928,-0.1192,2015-01-17 21:08:40.033
34825,150078,Private room,Camden,King's Cross,86,4.5,4,1.0,84.0,1,51.525131,-0.117492,2015-01-17 20:42:26.507
36299,155938,Entire home/apt,Richmond upon Thames,Kew,29,5.0,5,3.0,365.0,3,51.479345,-0.280662,2015-01-18 10:18:40.585
36551,157191,Private room,Southwark,Riverside,126,5.0,2,1.0,135.0,2,51.50261,-0.077331,2015-01-18 10:01:15.213
36657,157884,Private room,Haringey,Fortis Green,148,5.0,4,1.0,131.0,2,51.584371,-0.16283,2015-01-17 23:33:08.014
37384,161459,Private room,Southwark,The Lane,43,5.0,2,1.0,131.0,3,51.468713,-0.064552,2015-01-17 20:38:13.690
38151,163634,Private room,Croydon,Upper Norwood,0,,2,1.0,122.0,1,51.419397,-0.087219,2015-01-17 20:33:39.834
38407,164566,Entire home/apt,Tower Hamlets,Canary Wharf,55,5.0,3,1.0,148.0,3,51.499945,-0.026243,2015-01-17 20:33:43.644
38605,165579,Private room,Hammersmith and Fulham,Askew,142,4.5,2,1.0,116.0,2,51.50441,-0.236843,2015-01-18 10:27:48.346
38610,165579,Entire home/apt,Hammersmith and Fulham,Shepherd's Bush Green,2,5.0,11,5.0,185.0,7,51.50843,-0.233657,2015-01-18 10:51:23.470
39387,168920,Private room,Westminster,Harrow Road,2,5.0,2,1.0,103.0,3,51.525888,-0.199425,2015-01-18 11:31:01.754
